ID;Maker; Genmodel; Genmodel_ID;Adv_year;Adv_month;Color;Reg_year;Bodytype;Runned_Miles;Engin_size;Gearbox;Fuel_type;Price;Seat_num;Door_num;issue;issue_id;Adv_day;breakdown_date;repair_complexity;repair_cost;repair_hours;repair_date;value
24155;Abarth;595;2_4;2018;8;Blue;2017.0;Hatchback;3500;1.4L;Manual;Petrol;12000.0;2.0;3.0;Engine Issue;2;2;2018-08-02;2;2440.0;32.0;2018-08-10;11408.95512468219
17269;Ford;Fiesta;29_13;2018;7;Red;2006.0;Hatchback;89000;1.4L;Manual;Petrol;1865.0;5.0;5.0;Starter Motor Issue;0;1;2018-07-01;1;78.65;3.0;2018-07-01;1770.091704050669
31251;Citroen;DS3;21_1;2018;4;Grey;2011.0;Hatchback;48067;1.6L;Manual;Petrol;6000.0;5.0;3.0;Steering Wheel Shaking;0;16;2018-04-16;2;46.0;2.0;2018-04-16;5699.150709409333
5699;Ford;Mondeo;29_27;2018;6;Silver;2008.0;Estate;103000;2.0L;Manual;Diesel;2295.0;5.0;5.0;Electrical Issue;5;10;2018-06-10;1;62.295;3.0;2018-06-10;2175.9335331472084
39740;Ford;Fiesta;29_13;2018;4;Silver;2003.0;Hatchback;82000;1.4L;Manual;Petrol;1395.0;5.0;5.0;Transmission Issue;1;2;2018-04-02;1;84.185;4.0;2018-04-03;1328.3001575327487
9997;Chrysler;Ypsilon;17_10;2018;3;Black;2014.0;Hatchback;25451;1.2L;Manual;Petrol;5500.0;5.0;5.0;Gear Box Issue;0;19;2018-03-19;3;175.0;6.0;2018-03-20;5221.261202370832
25705;Ford;Fiesta;29_13;2018;8;Grey;2014.0;Hatchback;78081;1.6L;Manual;still_Diesel_but_you_found_an_easteregg;6000.0;5.0;5.0;Steering Wheel Shaking;0;26;2018-08-26;1;-26.0;1.0;2018-08-26;5698.365049966062
20536;Ford;Fiesta;29_13;2018;3;Orange;2013.0;Hatchback;21918;1.6L;Manual;Petrol;9295.0;5.0;3.0;Steering Wheel Shaking;0;26;2018-03-26;1;29.295;1.0;2018-03-26;8828.097165148603
22466;Honda;Accord;34_1;2018;4;Blue;2009.0;Estate;77620;2.2L;Manual;Diesel;6750.0;5.0;5.0;     Excessive Emissions     ;0;16;2018-04-16;1;-26.075;1.0;2018-04-16;6410.725612669748
31451;Ford;Kuga;29_25;2018;4;White;2013.0;SUV;33211;2.0L;Manual;Diesel;12989.0;5.0;5.0;Starter Motor Issue;0;3;2018-04-03;1;824.3039406557232;576.9100397562383;2018-04-27;12335.6684676964
7485;Fiat;Grande Punto;28_15;2018;8;Grey;2007.0;Hatchback;119500;1.2L;Manual;Petrol;1000.0;4.0;3.0;     Steering Wheel Shaking     ;0;7;2018-08-07;1;21.0;1.0;2018-08-07;949.3956941548668
41870;Dacia;Duster;22_1;2021;1;White;2019.0;SUV;12046;1.3L;Manual;Petrol;12925.0;5.0;5.0;    Warning Light    ;0;17;2021-01-17;1;309.25;9.0;2021-01-19;12270.656128596414
29143;Ford;B-Max;29_1;2018;6;Gold;2014.0;MPV;9785;1.6L;Automatic;Petrol;8295.0;5.0;5.0;Excessive Emissions;0;6;2018-06-06;1;27.4655;1.0;2018-06-06;7875.433247853819
24687;Ford;S-Max;29_31;2018;8;White;2014.0;MPV;56660;2.0L;Manual;Diesel;12399.0;7.0;5.0;   Starter Motor Issue   ;0;6;2018-08-06;1;183.99;3.0;2018-08-06;11783.4161611793
11537;Ford;Mustang;29_28;2018;8;Red;2017.0;Coupe;7574;5.0L;Automatic;Petrol;32997.0;4.0;3.0;Brake Pads Worn;0;9;2018-08-09;1;56.4985;2.0;2018-08-09;31347.669932690264
24538;Citroen;C4;18_12;2018;7;Red;2011.0;Hatchback;39500;1.6L;Automatic;Diesel;5590.0;5.0;5.0;Windscreen Crack;0;17;2018-07-17;2;43.354;2.0;2018-07-17;5307.617190359606
4669;Bentley;Continental;10_5;2018;7;Grey;2015.0;Coupe;8668;6.0L;Automatic;Petrol;93950.0;4.0;2.0;    Electrical Issue    ;3;3;2018-07-03;3;529.75;3.0;2018-07-03;89245.06997925803
12999;Fiat;Grande Punto;28_15;2018;7;Black;2009.0;Hatchback;75227;1.4L;Manual;Petrol;1995.0;5.0;5.0;Brake Pads Worn;0;24;2018-07-24;1;40.9975;2.0;2018-07-24;1903.7535197107
8689;Ford;Kuga;29_25;2017;4;Red;2015.0;SUV;21503;2.0L;Manual;Diesel;12994.0;5.0;5.0;Flat Tyres;0;3;2017-04-03;1;23.8982;1.0;2017-04-03;12340.431858599191
23602;Citroen;Grand C4 Picasso;18_24;2018;6;Blue;2015.0;MPV;25000;1.6L;Manual;Diesel;11390.0;5.0;5.0;Gear Box Issue;0;5;2018-06-05;2;193.9;4.0;2018-06-06;10826.917217773607
45996;Fiat;500C;28_3;2018;8;White;2013.0;Convertible;43000;1.2L;Manual;Petrol;5790.0;4.0;2.0;Warning Light;0;12;2018-08-12;1;237.9;9.0;2018-08-14;5500.421332653164
39567;Ford;Focus;29_14;2018;7;Blue;2008.0;Hatchback;107322;1.6L;Manual;Petrol;1190.0;5.0;5.0;Brake Pads Worn;0;2;2018-07-02;1;40.595;2.0;2018-07-02;1123.987961194706
10701;Fiat;500X;28_5;2021;4;Green;2019.0;SUV;19074;1.0L;Manual;Petrol;13299.0;5.0;5.0;Excessive Emissions;0;17;2021-04-17;1;116.3328611557504;1.0;2021-04-17;12639.83558929315
4266;Citroen;Berlingo;18_2;2021;4;Black;2019.0;MPV;19375;1.5L;Manual;Diesel;15300.0;7.0;5.0;Steering Wheel Shaking;0;5;2021-04-05;2;55.3;2.0;2021-04-05;14533.526210205146
42101;Fiat;500;28_2;2018;7;Gelb;2012.0;Hatchback;24000;1.2L;Automatic;Petrol;5490.0;4.0;3.0;Sensor Malfunction;0;9;2018-07-09;1;334.5;3.0;2018-07-09;5211.3283961441375
1651;Honda;CR-V;34_3;2018;5;Brown;2012.0;SUV;46000;2.0L;Automatic;Petrol;10750.0;5.0;5.0;Tyre Alignment;0;3;2018-05-03;1;11.075;0.5;2018-05-03;10215.46338104494
12723;Ford;S-Max;29_31;2018;3;Blue;2011.0;MPV;64381;2.0L;Manual;Diesel;8500.0;7.0;5.0;Warning Light;0;21;2018-03-21;1;-265.0;9.0;2018-03-23;8079.690536723454
33404;Citroen;C4;18_12;2018;6;Silver;2007.0;Hatchback;36000;1.6L;Automatic;Diesel;3995.0;5.0;5.0;Warning Light;0;13;2018-06-13;2;2189.0943077587594;1318.455352631088;2018-07-12;3789.82214055864
38928;Ford;Kuga;29_25;2018;4;Grey;2008.0;SUV;84000;2.0L;Manual;Diesel;5689.0;5.0;5.0;Warning Light;0;20;2018-04-20;1;236.89;9.0;2018-04-22;5388.976857733822
25203;Citroen;DS3;21_1;2018;4;Red;2013.0;Hatchback;26000;1.6L;Manual;Petrol;6977.0;5.0;3.0;Warning Light;0;13;2018-04-13;2;2010.7092047011247;1390.4153873641042;2018-04-30;6639.158047940096
46000;Honda;HR-V;34_8;2021;5;Silver;2019.0;SUV;9027;1.5L;Automatic;Petrol;20295.0;5.0;5.0;    Transmission Issue    ;1;20;2021-05-20;1;140.885;4.0;2021-05-21;19278.538783716584
5157;Ford;Mustang;29_28;2018;4;Black;2018.0;Coupe;5000;5.0L;Manual;Petrol;36500.0;4.0;3.0;Transmission Issue;1;4;2018-04-04;1;-189.5;4.0;2018-04-05;34665.33416530647
3735;Ford;B-Max;29_1;2018;5;Blue;2015.0;MPV;1784;1.4L;Manual;Petrol;9975.0;5.0;5.0;Excessive Emissions;0;4;2018-05-04;1;28.9775;1.0;2018-05-04;9471.399007169992
50245;Ford;Fusion;29_18;2018;5;Blue;2006.0;Hatchback;45000;1.4L;Manual;Petrol;1750.0;5.0;5.0;Sensor Malfunction;0;2;2018-05-02;1;147.5;3.0;2018-05-02;1655.034000185926
26050;Dacia;Sandero;22_3;2018;3;Grey;2017.0;Hatchback;1890;1.5L;Manual;Diesel;9000.0;5.0;5.0;Brake Pads Worn;0;18;2018-03-18;1;44.5;2.0;2018-03-18;8542.992383706665
23510;Ford;Mondeo;29_27;2018;4;Silver;2010.0;Hatchback;59601;1.8L;Manual;Diesel;6610.0;5.0;5.0;Radiator Leaking;0;7;2018-04-07;1;-172.2;2.0;2018-04-07;6273.324312737223
19703;Citroen;DS4;21_3;2017;3;Grey;2015.0;Hatchback;24428;1.6L;Manual;Diesel;9000.0;5.0;5.0;Transmission Issue;2;21;2017-03-21;2;183.0;6.0;2017-03-22;8551.904180391859
38357;Ford;Mondeo;29_27;2018;5;Grey;2010.0;Hatchback;103184;2.0L;Automatic;Diesel;4480.0;5.0;5.0;Windscreen Crack;0;14;2018-05-14;1;22.688;1.0;2018-05-14;4251.217766610002
30653;Fiat;500;28_2;2018;7;Grey;2015.0;Hatchback;20848;1.2L;Manual;Petrol;5956.0;4.0;3.0;Steering Wheel Shaking;0;25;2018-07-25;1;25.956;1.0;2018-07-25;5656.968834322569
31388;Ford;Focus;29_14;2018;8;Black;2016.0;Hatchback;15782;1.0L;Manual;Petrol;9799.0;5.0;5.0;Engine Issue;3;19;2018-08-19;1;1219.9;12.0;2018-08-22;9303.01265643632
43778;Ford;Focus;29_14;2018;5;Gelb;2004.0;Hatchback;75000;1.6L;Manual;Petrol;995.0;5.0;5.0;    Warning Light    ;0;17;2018-05-17;1;189.95;9.0;2018-05-19;950.6474220492868
48316;Ford;Fiesta;29_13;2018;5;Blue;2017.0;Hatchback;12975;1.25L;Manual;Petrol;9000.0;5.0;5.0;Flat Tyres;0;10;2018-05-10;1;22.7;1.0;2018-05-10;8551.086451471754
4748;Fiat;500;28_2;2018;7;Blue;2012.0;Hatchback;32000;1.2L;Manual;Petrol;4890.0;4.0;3.0;Engine Issue;4;7;2018-07-07;1;444.5;10.0;2018-07-09;4643.667703329051
9044;Ford;S-Max;29_31;2018;4;Silver;2015.0;MPV;28741;2.0L;Manual;Diesel;13999.0;7.0;5.0;Radiator Leaking;0;11;2018-04-11;1;319.98;2.0;2018-04-11;13296.931427734497
2073;Ford;Kuga;29_25;2018;4;Black;2011.0;SUV;56847;2.0L;Manual;Diesel;8750.0;5.0;5.0;Sensor Malfunction;0;26;2018-04-26;1;497.5;3.0;2018-04-26;8314.974788698357
36646;Ford;C-Max;29_2;2018;5;Blue;2017.0;MPV;46857;1.5L;Manual;Diesel;11790.0;5.0;5.0;Radiator Leaking;0;16;2018-05-16;1;275.8;2.0;2018-05-16;11192.776161182162
18804;Abarth;595;2_4;2021;1;Yellow;2019.0;Hatchback;7080;1.4L;Manual;Petrol;16795.0;4.0;3.0;Starter Motor Issue;0;21;2021-01-21;2;287.95000000000005;6.0;2021-01-22;15950.372450820323
22816;Ford;Fiesta;29_13;2021;5;Red;2019.0;Hatchback;9778;1.0L;Manual;Petrol;13499.0;5.0;3.0;Windscreen Crack;0;10;2021-05-10;1;28.0994;1.0;2021-05-10;12827.272276441992
8972;Fiat;500;28_2;2018;7;Red;2013.0;Hatchback;31200;1.2L;Manual;Petrol;5495.0;4.0;3.0;Radiator Leaking;0;3;2018-07-03;1;149.9;2.0;2018-07-03;5223.583374669832
4836;Ford;Mondeo;29_27;2018;8;Blue;2013.0;Estate;59940;2.0L;Automatic;Diesel;8000.0;5.0;5.0;Sensor Malfunction;0;5;2018-08-05;1;1812.0464243644;3.0;2018-08-05;7601.747404551199
38745;Ford;Mondeo;29_27;2018;7;Black;2009.0;Hatchback;122000;2.0L;Manual;Diesel;1950.0;5.0;5.0;Steering Wheel Shaking;0;7;2018-07-07;1;21.95;1.0;2018-07-07;1849.8626506411488
11177;Ford;C-Max;29_2;2018;3;Brown;2016.0;MPV;22321;1.5L;Manual;Diesel;9825.0;5.0;5.0;  Brake Pads Worn  ;0;24;2018-03-24;1;-44.9125;2.0;2018-03-24;9338.025880200032
16158;Ford;Tourneo Connect;29_34;2018;8;Black;2015.0;MPV;29402;1.6L;Manual;Diesel;9991.0;5.0;5.0;Radiator Leaking;0;11;2018-08-11;1;239.82;2.0;2018-08-11;9492.968780434576
32839;Citroen;C4 Picasso;18_14;2018;8;Blue;2017.0;MPV;14256;1.6L;Manual;Diesel;15800.0;5.0;5.0;Transmission Issue;3;23;2018-08-23;2;462.2;16.0;2018-08-27;15008.921300770207
19607;Ford;Kuga;29_25;2018;4;Silver;2009.0;SUV;108901;2.0L;Manual;Diesel;5495.0;5.0;5.0;Tyre Alignment;0;5;2018-04-05;1;10.5495;0.5;2018-04-05;5212.4863521731
29219;Fiat;Grande Punto;28_15;2018;2;Grey;2006.0;Hatchback;54000;1.4L;Manual;Petrol;1499.0;5.0;5.0;Excessive Emissions;0;22;2018-02-22;1;21.3491;1.0;2018-02-22;1430.521951145343
9056;Fiat;500;28_2;2018;8;Red;2012.0;Hatchback;28217;1.2L;Manual;Petrol;5400.0;4.0;3.0;Brake Pads Worn;0;19;2018-08-19;1;42.7;2.0;2018-08-19;5127.87143486624
38102;Ford;Ranger;29_30;2018;8;Silver;2015.0;Pickup;28039;2.2L;Manual;Diesel;19140.0;5.0;4.0;Tyre Alignment;0;17;2018-08-17;1;11.914;0.5;2018-08-17;18187.01884367287
14148;Honda;CR-V;34_3;2018;7;Blue;2013.0;SUV;54000;2.2L;Automatic;Diesel;11995.0;5.0;5.0;Excessive Emissions;0;10;2018-07-10;1;-179.43132539833414;106.1847343816736;2018-08-05;11395.340281960776
10871;Fiat;Qubo;28_21;2018;4;Silver;2010.0;MPV;55000;1.3L;Manual;Diesel;4295.0;5.0;5.0;Excessive Emissions;0;18;2018-04-18;1;23.8655;1.0;2018-04-18;4086.529748703868
45138;Ford;Focus;29_14;2021;5;Red;2019.0;Hatchback;6629;1.0L;Automatic;Petrol;18500.0;5.0;5.0;Warning Light;0;15;2021-05-15;1;365.0;9.0;2021-05-17;17574.143891063773
35251;Ford;Mondeo;29_27;2018;4;Brown;2014.0;Estate;91000;2.0L;Automatic;Diesel;8990.0;5.0;5.0;Starter Motor Issue;0;17;2018-04-17;1;149.9;3.0;2018-04-17;8536.487710585807
3576;Ferrari;488;27_7;2018;8;Red;2017.0;Convertible;9546;3.9L;Automatic;Petrol;258994.0;2.0;2.0;Starter Motor Issue;0;5;2018-08-05;3;13048.76951870735;9390.466222350138;2018-08-12;246046.4817714297
8796;Ford;Fusion;29_18;2018;4;Black;2004.0;Hatchback;133000;1.4L;Manual;Petrol;699.0;5.0;5.0;Starter Motor Issue;0;18;2018-04-18;1;66.99;3.0;2018-04-18;661.091606451227
23401;Ford;Focus;29_14;2018;5;Blue;2016.0;Estate;36279;1.5L;Manual;Diesel;11000.0;5.0;5.0;Windscreen Crack;0;2;2018-05-02;1;26.6;1.0;2018-05-02;10448.554326237108
45027;Fiat;500;28_2;2018;6;Red;2016.0;Hatchback;11000;1.2L;Manual;Petrol;8250.0;4.0;3.0;Alternator Failing;0;7;2018-06-07;1;205.0;2.0;2018-06-07;7831.180485282117
10927;Citroen;C4;18_12;2018;8;Grey;2017.0;Hatchback;2127;1.6L;Manual;Diesel;10999.0;5.0;5.0;Transmission Issue;1;8;2018-08-08;2;192.997;8.0;2018-08-10;10437.958286971978
49664;Citroen;Xsara Picasso;18_30;2018;5;Gelb;2009.0;MPV;79600;1.6L;Manual;Diesel;1650.0;5.0;5.0;Excessive Emissions;0;11;2018-05-11;2;41.485;2.0;2018-05-11;1572.3698470433462
36245;Abarth;595;2_4;2018;8;Blue;2018.0;Hatchback;9500;1.4L;Manual;Petrol;21500.0;2.0;3.0;Radiator Leaking;0;2;2018-08-02;2;510.0;4.0;2018-08-03;20414.378133188475
23730;Ford;Fiesta;29_13;2018;8;Blue;2003.0;Hatchback;109000;1.4L;Manual;Petrol;1091.0;5.0;5.0;Engine Issue;2;13;2018-08-13;1;483.65;16.0;2018-08-17;1028.3233169913915
35957;Ford;S-Max;29_31;2018;4;Gelb;2018.0;MPV;50;2.0L;Manual;Diesel;21995.0;7.0;5.0;Starter Motor Issue;0;8;2018-04-08;1;279.95000000000005;3.0;2018-04-08;20895.12342097038
23167;Citroen;Xsara Picasso;18_30;2018;7;Silver;2003.0;MPV;128000;1.8L;Manual;Petrol;395.0;5.0;5.0;Excessive Emissions;0;9;2018-07-09;2;40.3555;2.0;2018-07-09;374.95788097498286
43006;Fiat;Idea;28_16;2017;11;Black;2004.0;Hatchback;93236;1.4L;Manual;Petrol;850.0;5.0;5.0; Brake Pads Worn ;0;28;2017-11-28;1;40.425;2.0;2017-11-28;808.1492639630544
7595;Chevrolet;Trax;16_18;2018;5;White;2013.0;Hatchback;21780;1.6L;Manual;Petrol;7490.0;5.0;5.0;Engine Issue;2;3;2018-05-03;1;1443.5;16.0;2018-05-07;7119.9461035376335
39365;Fiat;Bravo;28_10;2018;7;Silver;2007.0;Hatchback;89000;1.9L;Manual;Diesel;1500.0;5.0;5.0;Warning Light;0;24;2018-07-24;1;195.0;9.0;2018-07-26;1424.853254657476
52255;Dacia;Logan MCV;22_2;2018;3;White;2014.0;Estate;67000;1.5L;Manual;Diesel;5995.0;5.0;5.0;Engine Issue;1;9;2018-03-09;1;1359.0;8.0;2018-03-11;5690.043040169944
38994;Fiat;500;28_2;2021;3;Red;2019.0;Hatchback;20000;1.2L;Manual;Petrol;7495.0;4.0;3.0;Flat Tyres;0;3;2021-03-03;1;-22.2485;1.0;2021-03-03;7125.917247657556
50642;Citroen;Berlingo;18_2;2018;3;Blue;2015.0;MPV;20500;1.6L;Manual;Diesel;9450.0;5.0;0.0;Engine Issue;3;12;2018-03-12;2;1425.0;24.0;2018-03-18;8975.629428209857
28811;Ford;Kuga;29_25;2018;5;Gelb;2017.0;SUV;4500;2.0L;Manual;still_Diesel_but_you_found_an_easteregg;20995.0;5.0;5.0; Flat Tyres ;0;21;2018-05-21;1;26.2985;1.0;2018-05-21;19943.54490094527
5494;Chrysler;300C;17_1;2018;5;Black;2008.0;Saloon;50000;3.0L;Automatic;Diesel;5490.0;5.0;4.0;Radiator Leaking;0;2;2018-05-02;3;229.8;6.0;2018-05-03;5217.318269359752
32674;Chevrolet;Lacetti;16_11;2018;8;Blue;2008.0;Estate;820000;1.8L;Automatic;Petrol;325.0;5.0;5.0;Engine Issue;3;8;2018-08-08;1;272.5;12.0;2018-08-11;309.904703631359
6680;Citroen;Grand C4 Picasso;18_24;2018;5;Red;2013.0;MPV;33000;2.0L;Automatic;Diesel;8000.0;7.0;5.0;     Gear Box Issue     ;0;18;2018-05-18;2;160.0;4.0;2018-05-19;7598.106042803996
11668;Honda;Civic;34_2;2018;3;White;2013.0;Hatchback;86000;1.6L;Manual;Diesel;6745.0;5.0;5.0;Warning Light;0;22;2018-03-22;1;1238.3178451251408;915.6376875849028;2018-04-09;6411.276390350443
34280;Ford;Galaxy;29_19;2018;5;Silver;2017.0;MPV;16923;2.0L;Manual;Diesel;20491.0;7.0;5.0;Alternator Failing;0;26;2018-05-26;1;449.82;2.0;2018-05-26;19463.02938334985
23534;Citroen;Xsara Picasso;18_30;2018;4;Beige;2007.0;MPV;57800;2.0L;Automatic;Petrol;3245.0;5.0;5.0;Warning Light;0;1;2018-04-01;2;392.45;18.0;2018-04-05;3087.492505161666
39473;Ford;Mondeo;29_27;2018;3;Black;2006.0;Hatchback;80000;2.2L;Manual;Diesel;3250.0;5.0;5.0;Starter Motor Issue;0;26;2018-03-26;1;92.5;3.0;2018-03-26;3091.2096867467453
23541;Fiat;500;28_2;2018;8;Beige;2014.0;Hatchback;48052;1.2L;Manual;Petrol;5795.0;4.0;3.0;Brake Pads Worn;0;28;2018-08-28;1;-42.8975;2.0;2018-08-28;5501.727718437246
30461;Ford;S-Max;29_31;2018;3;Black;2015.0;MPV;42023;1.6L;Manual;Diesel;12250.0;7.0;5.0;Steering Wheel Shaking;0;8;2018-03-08;1;32.25;1.0;2018-03-08;11636.417145726484
46514;Fiat;Grande Punto;28_15;2018;1;Blue;2008.0;Hatchback;73000;1.2L;Manual;Petrol;1495.0;4.0;3.0;Tyre Alignment;0;24;2018-01-24;1;10.1495;0.5;2018-01-24;1422.319341146719
31403;Ford;C-Max;29_2;2018;4;Blue;2014.0;MPV;51957;1.6L;Manual;Petrol;9709.0;7.0;5.0;   Starter Motor Issue   ;0;22;2018-04-22;1;157.09;3.0;2018-04-22;9228.332262348578
52715;Ford;Mustang;29_28;2018;3;Gelb;2017.0;Convertible;815;5.0L;Automatic;Petrol;38990.0;4.0;3.0;Gear Box Issue;0;14;2018-03-14;1;429.9;2.0;2018-03-14;37041.97104236248
20540;Ford;Galaxy;29_19;2018;1;Black;2012.0;MPV;110000;2.0L;Automatic;Diesel;5489.0;7.0;5.0;Brake Pads Worn;0;20;2018-01-20;1;42.7445;2.0;2018-01-20;5212.190607250201
14656;Ford;C-Max;29_2;2018;8;Red;2014.0;MPV;25219;1.6L;Manual;Diesel;7895.0;5.0;5.0;Sensor Malfunction;0;17;2018-08-17;1;454.75;3.0;2018-08-17;7487.091217700166
8109;Ford;Fiesta;29_13;2018;8;Black;2008.0;Hatchback;77546;1.25L;Manual;Petrol;2295.0;5.0;3.0;Steering Wheel Shaking;0;26;2018-08-26;1;22.295;1.0;2018-08-26;2184.7199279354013
19472;Honda;Jazz;34_11;2018;8;Grey;2017.0;Hatchback;9450;1.3L;Manual;Petrol;11995.0;5.0;5.0;Radiator Leaking;0;15;2018-08-15;1;279.9;2.0;2018-08-15;11398.88937816984
27166;Ford;Mondeo;29_27;2018;4;Grey;2017.0;Hatchback;9000;2.0L;Manual;Diesel;17390.0;5.0;5.0;Brake Pads Worn;0;8;2018-04-08;1;-243.05061120841413;2.0;2018-04-08;16523.72648555453
8102;Fiat;500C;28_3;2017;12;White;2010.0;Convertible;48000;1.4L;Manual;Petrol;4590.0;4.0;2.0;Gear Box Issue;0;28;2017-12-28;1;85.9;2.0;2017-12-28;4365.2692866435
21815;Honda;HR-V;34_8;2018;3;Silver;2017.0;SUV;9983;1.5L;Manual;Petrol;17890.0;5.0;5.0;Sensor Malfunction;0;15;2018-03-15;1;954.5;3.0;2018-03-15;16986.2152393929
45322;Fiat;500;28_2;2018;7;Green;2014.0;Hatchback;18400;1.2L;Manual;Petrol;5490.0;4.0;3.0;Engine Issue;3;3;2018-07-03;1;-789.0;12.0;2018-07-06;5223.797925035992
5591;Citroen;C2;18_7;2018;8;Red;2007.0;Hatchback;81173;1.1L;Manual;Petrol;950.0;4.0;3.0;Sensor Malfunction;0;4;2018-08-04;2;167.5;6.0;2018-08-05;904.6023501208848
15059;Citroen;C2;18_7;2018;7;Blue;2007.0;Hatchback;77000;1.4L;Manual;Petrol;1675.0;4.0;3.0;Flat Tyres;0;1;2018-07-01;2;40.5025;2.0;2018-07-01;1597.6693778933952
7200;Ford;Mustang;29_28;2018;7;Grey;2018.0;Coupe;60;5.0L;Automatic;Petrol;59950.0;4.0;2.0;Excessive Emissions;0;9;2018-07-09;1;73.955;1.0;2018-07-09;56956.139204665735
